"Summary","UID","Description","Location","Start Time","End Time","URL"
"b'ML Theory'","CSVConvert100ccab2a0ae937a333cc56cb0b361c0","b'Part Time'","","2020-02-08 08:00:00+00:00","2020-02-08 09:30:00+00:00",""
"b'ML Theory'","CSVConvert132f98e7102fba9a476bab587955a9ec","b'Part Time'","","2020-01-24 17:30:00+00:00","2020-01-24 19:00:00+00:00",""
"b'ML Theory'","CSVConvert15e3b087941a99be8ea15d005ae878b6","b'Part Time'","","2020-02-14 15:30:00+00:00","2020-02-14 17:00:00+00:00",""
"b'ML Exercises'","CSVConvert16c2f333cfad4a4ca0de204d3dcb7ea8","b'Part Time'","","2020-02-14 19:00:00+00:00","2020-02-14 20:30:00+00:00",""
"b'ML Theory'","CSVConvert1821c46331b94159fb873252e92652b9","b'Part Time'","","2019-12-11 09:30:00+00:00","2019-12-11 11:00:00+00:00",""
"b'ML Exercises'","CSVConvert19209081d96a954aa48ca69389efdb8c","b'Part Time'","","2019-12-11 11:30:00+00:00","2019-12-11 13:00:00+00:00",""
"b'ML Theory'","CSVConvert20858208109a1a8f66790a932b995deb","b'Part Time'","","2019-12-14 08:00:00+00:00","2019-12-14 09:30:00+00:00",""
"b'ML Exercises'","CSVConvert21a1a04b2e091689de76c6c8dd3bb454","b'Part Time'","","2020-02-01 11:30:00+00:00","2020-02-01 13:00:00+00:00",""
"b'ML Theory'","CSVConvert32396fe65bee79079bfc8bb020012fe3","b'Part Time'","","2020-01-23 15:30:00+00:00","2020-01-23 17:00:00+00:00",""
"b'ML Exercises'","CSVConvert34f38471eec8ad9ae035e4c69d38df5b","b'Part Time'","","2019-12-10 15:30:00+00:00","2019-12-10 17:00:00+00:00",""
"b'ML Theory'","CSVConvert4021145950c79bc742a4bd19350a5cda","b'Part Time'","","2019-12-12 09:30:00+00:00","2019-12-12 11:00:00+00:00",""
"b'ML Exercises'","CSVConvert45bc6f91bb64a2003e50f3629e5507a4","b'Part Time'","","2020-02-07 19:00:00+00:00","2020-02-07 20:30:00+00:00",""
"b'ML Theory'","CSVConvert48bc61ab7778d6b61cb5eac3a231099c","b'Part Time'","","2019-12-12 08:00:00+00:00","2019-12-12 09:30:00+00:00",""
"b'ML Exercises'","CSVConvert6b00233486080d119671eac4adec2bdb","b'Part Time'","","2020-01-24 19:00:00+00:00","2020-01-24 20:30:00+00:00",""
"b'ML Exercises'","CSVConvert6ce5d8b8bb8402f952cd4d4445abeba0","b'Part Time'","","2020-01-31 19:00:00+00:00","2020-01-31 20:30:00+00:00",""
"b'ML Exercises'","CSVConvert72854d2c58b4b0ff1e77734ce4d91225","b'Part Time'","","2020-02-07 17:30:00+00:00","2020-02-07 19:00:00+00:00",""
"b'ML Theory'","CSVConvert7bb66f4798d613c720f98438f58039a3","b'Part Time'","","2019-12-13 08:00:00+00:00","2019-12-13 09:30:00+00:00",""
"b'ML Theory'","CSVConvert8916d627115942d9442b96086ffa375f","b'Part Time'","","2019-12-13 09:30:00+00:00","2019-12-13 11:00:00+00:00",""
"b'ML Exercises'","CSVConverta25e13925e1ce174198e820d560fa664","b'Part Time'","","2020-01-25 09:30:00+00:00","2020-01-25 11:00:00+00:00",""
"b'ML Exercises'","CSVConverta6ca0c1917777221b81c3561dfc2ef96","b'Part Time'","","2020-01-17 19:00:00+00:00","2020-01-17 20:30:00+00:00",""
"b'ML Exercises'","CSVConverta8b2721d585680ff30e93a31c3660327","b'Part Time'","","2020-01-30 19:00:00+00:00","2020-01-30 20:30:00+00:00",""
"b'ML Exercises'","CSVConvertaad06698cbb7e90959d802df62329121","b'Part Time'","","2020-02-14 17:30:00+00:00","2020-02-14 19:00:00+00:00",""
"b'ML Theory'","CSVConvertad6bfd74f5195e386ec81a0bc7c16cba","b'Part Time'","","2020-01-17 15:30:00+00:00","2020-01-17 17:00:00+00:00",""
"b'ML Exercises'","CSVConvertaeef81ee2fe6ed7ca6788915007a2891","b'Part Time'","","2020-02-08 09:30:00+00:00","2020-02-08 11:00:00+00:00",""
