,Title,Start Time,End Time
0,b'ML Theory',1581148800,2020-02-08 09:30:00+00:00
1,b'ML Theory',1579887000,2020-01-24 19:00:00+00:00
2,b'ML Theory',1581694200,2020-02-14 17:00:00+00:00
3,b'ML Exercises',1581706800,2020-02-14 20:30:00+00:00
4,b'ML Theory',1576056600,2019-12-11 11:00:00+00:00
5,b'ML Exercises',1576063800,2019-12-11 13:00:00+00:00
6,b'ML Theory',1576310400,2019-12-14 09:30:00+00:00
7,b'ML Exercises',1580556600,2020-02-01 13:00:00+00:00
8,b'ML Theory',1579793400,2020-01-23 17:00:00+00:00
9,b'ML Exercises',1575991800,2019-12-10 17:00:00+00:00
10,b'ML Theory',1576143000,2019-12-12 11:00:00+00:00
11,b'ML Exercises',1581102000,2020-02-07 20:30:00+00:00
12,b'ML Theory',1576137600,2019-12-12 09:30:00+00:00
13,b'ML Exercises',1579892400,2020-01-24 20:30:00+00:00
14,b'ML Exercises',1580497200,2020-01-31 20:30:00+00:00
15,b'ML Exercises',1581096600,2020-02-07 19:00:00+00:00
16,b'ML Theory',1576224000,2019-12-13 09:30:00+00:00
17,b'ML Theory',1576229400,2019-12-13 11:00:00+00:00
18,b'ML Exercises',1579944600,2020-01-25 11:00:00+00:00
19,b'ML Exercises',1579287600,2020-01-17 20:30:00+00:00
20,b'ML Exercises',1580410800,2020-01-30 20:30:00+00:00
21,b'ML Exercises',1581701400,2020-02-14 19:00:00+00:00
22,b'ML Theory',1579275000,2020-01-17 17:00:00+00:00
23,b'ML Exercises',1581154200,2020-02-08 11:00:00+00:00
24,b'ML Theory',1576051200,2019-12-11 09:30:00+00:00
25,b'ML Theory',1576315800,2019-12-14 11:00:00+00:00
26,b'ML Exercises',1576150200,2019-12-12 13:00:00+00:00
27,b'ML Theory',1579282200,2020-01-17 19:00:00+00:00
28,b'ML Theory',1578677400,2020-01-10 19:00:00+00:00
29,b'ML Exercises',1576236600,2019-12-13 13:00:00+00:00
30,b'ML Theory',1578596400,2020-01-09 20:30:00+00:00
31,b'ML Theory',1579334400,2020-01-18 09:30:00+00:00
32,b'ML Theory',1580544000,2020-02-01 09:30:00+00:00
33,b'ML Exercises',1579201200,2020-01-16 20:30:00+00:00
34,b'ML Theory',1581003000,2020-02-06 17:00:00+00:00
35,b'ML Exercises',1579806000,2020-01-23 20:30:00+00:00
36,b'ML Exercises',1581015600,2020-02-06 20:30:00+00:00
37,b'ML Theory',1578670200,2020-01-10 17:00:00+00:00
38,b'ML Exercises',1578682800,2020-01-10 20:30:00+00:00
39,b'ML Exercises',1575977400,2019-12-10 13:00:00+00:00
40,b'ML Exercises',1580491800,2020-01-31 19:00:00+00:00
41,b'DV Theory',1575986400,2019-12-10 15:30:00+00:00
42,b'DV Theory',1576072800,2019-12-11 15:30:00+00:00
43,b'DV Theory',1576245600,2019-12-13 15:30:00+00:00
44,b'DV Theory',1576251000,2019-12-13 17:00:00+00:00
45,b'DV Theory',1578583800,2020-01-09 17:00:00+00:00
46,b'DV Theory',1579188600,2020-01-16 17:00:00+00:00
47,b'DV Theory',1579939200,2020-01-25 09:30:00+00:00
48,b'DV Theory',1580398200,2020-01-30 17:00:00+00:00
49,b'DV Theory',1576159200,2019-12-12 15:30:00+00:00
