tenure,totalcharges,seniorcitizen,monthlycharges,gender,partner,dependents,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod
66,6471.85,1,102.4,0,0,0,1,2,1,2,0,0,0,2,2,2,1,0
55,3316.1,1,60.0,1,1,0,1,2,0,2,2,0,0,0,0,1,0,1
26,2184.6,0,85.2,1,0,0,1,0,1,0,2,2,2,0,0,1,1,2
61,6300.15,0,106.45,1,0,0,1,2,1,2,0,2,0,2,2,0,1,2
34,2874.45,1,85.2,1,1,0,1,0,1,0,0,2,0,2,0,0,1,1
34,679.0,0,20.05,1,1,0,1,0,2,1,1,1,1,1,1,2,0,1
1,44.75,0,44.75,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
72,7878.3,0,109.2,1,0,0,1,2,1,0,2,2,2,2,2,2,0,0
52,1270.25,0,25.05,0,1,1,1,2,2,1,1,1,1,1,1,2,1,0
38,3297.0,0,85.4,1,1,1,1,2,0,2,0,2,2,2,2,2,1,0
43,4388.4,1,101.0,1,1,0,1,2,1,0,2,0,0,2,2,0,1,2
4,341.45,0,87.1,0,0,1,1,2,1,0,0,2,2,0,0,0,1,3
72,7711.45,0,109.2,0,1,1,1,2,1,0,2,2,2,2,2,2,1,0
4,321.75,1,74.9,0,0,0,1,2,1,0,0,0,0,0,0,0,1,2
32,2282.95,0,74.75,0,0,0,1,2,0,2,0,0,0,2,2,1,0,3
69,5555.3,0,82.45,0,0,0,1,0,0,2,0,2,2,2,2,2,1,1
72,5336.35,0,75.1,1,0,0,1,0,0,2,2,2,2,2,0,2,1,0
56,1080.55,0,19.55,0,0,0,1,0,2,1,1,1,1,1,1,2,1,0
21,770.4,0,35.1,0,0,0,0,1,0,2,0,0,2,0,0,2,0,3
59,4194.85,0,72.1,0,1,1,1,2,0,0,0,2,2,2,0,2,1,0
2,48.35,0,19.25,1,0,1,1,0,2,1,1,1,1,1,1,0,0,3
52,3410.6,0,64.3,0,1,0,1,0,0,2,0,2,0,2,0,1,1,3
70,7869.05,0,113.05,0,1,1,1,2,1,2,2,2,2,2,2,2,1,1
24,1167.8,0,49.7,1,0,0,1,0,0,0,0,2,0,0,0,0,1,3
31,2545.75,0,81.15,0,1,1,1,0,0,2,0,2,2,2,2,1,1,3
44,3268.05,1,74.85,0,0,0,1,0,0,0,0,2,2,2,2,1,0,0
1,19.75,0,19.75,1,0,0,1,0,2,1,1,1,1,1,1,0,1,3
22,1910.6,1,90.5,1,0,0,1,2,1,0,0,0,2,2,0,0,1,0
3,196.9,0,60.65,1,0,0,1,0,0,0,0,0,2,0,2,0,0,3
7,511.25,0,73.85,0,0,0,1,2,1,0,0,0,0,0,0,0,1,2
35,812.5,0,24.15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
3,242.95,0,91.5,0,1,0,1,2,1,0,2,0,0,0,2,0,1,1
2,119.75,0,68.95,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2
29,3004.15,1,98.5,1,1,0,1,2,1,0,0,2,0,2,2,0,1,2
3,257.6,0,76.1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,2
13,731.3,1,54.8,0,0,0,1,0,0,0,2,2,0,0,0,0,1,2
52,3482.85,0,68.75,1,1,1,1,0,0,0,2,2,2,2,0,1,1,2
24,587.4,0,24.1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,0
20,413.0,0,19.5,0,0,0,1,0,2,1,1,1,1,1,1,0,1,0
19,367.55,0,19.9,0,0,0,1,0,2,1,1,1,1,1,1,0,0,3
60,2773.9,0,44.45,0,0,0,0,1,0,2,0,2,0,0,2,1,1,2
69,4263.4,0,60.8,1,1,0,0,1,0,0,2,2,2,2,2,1,1,1
72,1778.7,1,24.3,0,1,0,1,2,2,1,1,1,1,1,1,2,0,0
4,220.65,0,55.2,0,0,0,1,0,0,2,2,0,0,0,0,0,0,2
13,357.15,0,29.15,0,0,0,0,1,0,0,2,0,0,0,0,0,0,2
50,5232.9,0,104.4,0,1,0,1,2,1,2,0,2,0,2,2,1,1,3
62,1123.65,0,19.2,0,0,0,1,0,2,1,1,1,1,1,1,2,1,1
11,829.3,0,70.5,0,0,0,1,0,0,0,0,0,2,2,2,0,0,3
1,44.0,0,44.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3
10,503.25,0,56.75,1,0,0,1,0,0,0,0,0,0,0,2,0,1,0
72,8349.45,0,115.15,1,1,0,1,2,1,2,2,2,2,2,2,2,0,0
3,58.3,0,19.95,1,0,1,1,0,2,1,1,1,1,1,1,0,0,3
9,801.3,0,88.05,1,1,0,1,2,1,2,0,0,0,0,2,0,1,2
4,266.9,0,70.05,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1
54,5373.1,1,101.5,0,1,0,1,2,1,0,2,0,0,2,2,1,1,1
39,987.95,0,25.2,1,1,1,1,2,2,1,1,1,1,1,1,2,0,3
2,178.1,0,94.95,1,0,0,1,0,1,0,0,2,0,2,2,0,0,2
17,1144.5,0,70.0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2
5,512.45,0,96.25,0,0,0,1,0,1,0,2,0,0,2,2,0,1,2
1,55.05,0,55.05,1,0,0,1,0,0,0,0,2,2,0,0,0,0,3
69,7240.65,0,105.35,0,1,0,1,2,1,0,0,2,2,2,2,2,0,0
53,1275.6,1,25.1,0,1,0,1,2,2,1,1,1,1,1,1,2,0,1
22,1873.7,0,85.1,1,1,0,1,2,1,0,0,0,0,0,2,0,1,2
2,145.15,0,79.45,1,0,0,1,2,1,0,2,0,0,0,0,0,1,2
65,6416.7,0,99.05,0,1,1,1,2,1,2,2,0,2,2,0,2,1,1
26,2361.8,0,90.8,0,1,1,1,0,1,0,0,0,0,2,2,0,1,2
3,168.6,0,58.7,0,1,1,1,0,0,0,2,0,0,2,0,0,1,1
2,37.2,1,19.2,1,0,0,1,0,2,1,1,1,1,1,1,0,0,2
4,96.05,0,24.25,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3
14,1046.5,0,70.2,0,1,1,1,0,1,0,0,0,0,0,0,0,0,2
72,6849.75,0,94.25,0,1,0,1,2,1,2,2,2,2,0,0,2,1,0
59,6252.9,0,106.75,1,1,0,1,2,1,2,2,2,2,2,0,0,1,2
72,1789.9,1,25.1,1,0,0,1,2,2,1,1,1,1,1,1,2,1,1
27,1567.55,0,56.2,1,0,1,1,0,0,2,2,0,0,0,0,1,0,3
65,6126.15,1,94.4,0,1,0,1,0,1,2,2,2,0,0,2,0,0,2
30,711.9,0,21.25,1,1,1,1,0,2,1,1,1,1,1,1,2,0,3
69,4131.2,0,61.45,0,1,0,1,0,0,0,2,0,0,0,2,2,1,1
5,300.4,0,55.8,0,0,0,1,0,0,2,0,2,0,0,0,0,0,1
8,679.3,0,80.1,0,0,0,1,0,1,0,0,0,0,2,0,0,1,0
41,2877.05,0,68.6,0,0,0,1,2,0,0,0,2,2,0,2,1,1,2
25,1752.65,1,69.5,0,1,0,1,2,0,2,0,0,2,2,0,0,1,1
1,69.65,1,69.65,1,0,0,1,0,1,0,0,0,0,0,0,0,1,2
15,939.7,0,58.6,1,0,0,1,2,0,0,2,0,2,0,0,0,1,1
64,7334.05,0,115.1,0,0,0,1,2,1,2,2,2,2,2,2,2,1,0
15,1155.6,0,76.5,0,1,1,1,0,0,0,2,2,2,2,2,0,0,0
49,5290.45,0,109.2,1,0,1,1,2,1,2,2,2,0,2,2,1,1,1
2,135.2,0,69.7,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2
68,7176.55,0,108.45,1,0,0,1,2,1,0,2,2,2,2,2,1,0,2
