flight_id,departure_ts,carrier,departure_airport,arrival_airport,distance,delayed_15_min
JLCSB02,2019-09-14 12:09:00,NW,DTW,LAS,1750,0
RPYWT06,2019-10-28 09:20:00,MQ,OKC,DFW,175,0
PQUEQ09,2019-11-08 19:30:00,WN,LAS,LBB,775,0
QGBZY02,2019-11-03 20:20:00,WN,ELP,DAL,562,0
AUQQT02,2019-07-30 20:09:00,UA,ORD,OMA,416,0
ZIMHE01,2019-02-28 15:20:00,WN,PDX,OAK,543,1
TWSDL06,2019-07-26 07:09:00,MQ,LGA,CLT,544,0
UNJJF04,2019-12-16 16:42:00,WN,MCO,LAS,2039,1
NYJOB06,2019-05-06 12:20:00,HA,HNL,OGG,100,0
UMJRB04,2019-02-14 11:41:00,US,DCA,BOS,399,0
FSNAG08,2019-09-06 08:38:00,WN,BOI,RNO,335,0
OUWKV05,2019-11-18 20:17:00,UA,SFO,BUR,326,0
CZGPR05,2019-05-24 20:45:00,EV,AVL,CVG,275,0
VRYFN03,2019-01-06 07:49:00,OO,SLC,SEA,689,0
HSGBX03,2019-04-03 20:55:00,NW,DTW,MHT,609,0
QOAOK08,2019-03-13 14:46:00,DL,RSW,ATL,515,0
GBBNB06,2019-07-15 07:55:00,CO,EWR,IAH,1400,0
VSGFR01,2019-11-03 08:40:00,WN,SEA,MDW,1733,0
GTXNX01,2019-02-05 15:47:00,AS,SEA,GEG,224,0
BHJLG09,2019-04-07 13:30:00,US,PDX,LAS,762,0
JWPRU09,2019-01-08 18:57:00,AA,DFW,ORD,802,0
GFHEV09,2019-10-22 19:15:00,OH,JFK,ORD,740,1
WSALI02,2019-06-06 13:25:00,OH,JFK,ATL,760,0
XNJHJ05,2019-08-17 12:18:00,CO,EWR,SFO,2565,1
TRQYG04,2019-08-16 19:10:00,NW,MEM,PHL,874,1
GBFXC02,2019-08-20 12:15:00,HA,HNL,SAN,2614,0
MDKCC08,2019-01-22 12:56:00,UA,LAX,DFW,1235,1
DGEXK02,2019-03-06 21:36:00,B6,JFK,SJU,1597,0
IKPRS04,2019-07-15 05:56:00,AS,GEG,SEA,224,0
TJQRH06,2019-10-24 08:19:00,TZ,MDW,MSP,349,0
PDOSG02,2019-12-28 07:06:00,US,DEN,CLT,1337,0
NDFFH01,2019-11-29 22:00:00,WN,LAS,PHX,256,0
HOINV08,2019-06-10 06:44:00,AA,ELP,DFW,551,0
PFGGL03,2019-05-30 17:14:00,US,BOS,PHL,280,0
NZIHF07,2019-09-15 18:31:00,US,PBI,CLT,590,0
GSWLP06,2019-11-27 08:04:00,WN,SAN,AUS,1164,0
IDEQZ06,2019-11-27 17:54:00,XE,CVG,IAH,871,0
NIIBS04,2019-05-19 11:54:00,OH,DCA,CMH,322,0
BUZOJ03,2019-05-22 08:25:00,WN,DTW,MDW,229,0
SKGHO03,2019-09-20 17:45:00,XE,BHM,IAH,562,0
QPUUI03,2019-09-14 10:17:00,NW,DTW,IAD,383,0
WDYHA05,2019-03-20 14:03:00,AA,DFW,IAD,1172,1
GGLHY05,2019-03-24 12:05:00,HP,LAS,SNA,226,0
ZBOWB07,2019-02-19 11:55:00,MQ,MIA,BNA,806,0
ELYQB05,2019-06-23 09:24:00,OH,CVG,ICT,699,0
OXACJ01,2019-09-29 14:45:00,DL,ATL,DCA,547,1
LSACP02,2019-09-24 06:23:00,F9,PDX,DEN,992,0
MBHZQ02,2019-11-25 19:44:00,UA,DEN,SEA,1024,0
YXEVE08,2019-01-04 16:36:00,DL,ATL,MSY,425,0
VEUAM07,2019-02-06 07:04:00,CO,LAS,IAH,1222,0
KASZL04,2019-05-03 22:32:00,AA,DFW,SFO,1464,1
PQVUC06,2019-01-04 17:35:00,DL,DFW,ATL,732,0
RNGDF09,2019-09-12 12:36:00,FL,IAD,MCO,758,0
LVGYD01,2019-08-21 10:58:00,MQ,ORD,GRB,174,0
ANALF01,2019-04-10 21:25:00,WN,SJC,LAS,386,1
MJRVJ06,2019-10-02 13:24:00,OH,CVG,TYS,226,0
YNWFE08,2019-03-21 13:41:00,OO,LEX,ORD,323,0
YHYOS05,2019-01-08 14:56:00,US,BOS,DCA,399,0
PKDAM02,2019-11-11 13:37:00,XE,BDL,EWR,116,1
MGYBN04,2019-07-30 22:26:00,NW,DTW,FNT,56,0
MHSLS05,2019-08-18 11:15:00,OO,SUN,SLC,223,0
BNDKN01,2019-01-21 08:23:00,DL,SLC,DFW,988,0
HZKPH07,2019-08-18 18:24:00,MQ,MSN,ORD,109,0
HFWSJ03,2019-07-25 21:34:00,DL,JFK,TPA,1005,1
DZTQV01,2019-03-15 12:06:00,AA,DTW,MIA,1145,0
ILOFP01,2019-12-09 15:15:00,WN,DAL,AMA,324,0
PGPWS01,2019-11-22 09:26:00,NW,MEM,LGA,963,1
CHEHH03,2019-06-20 20:56:00,US,PHL,CLT,448,0
RZHAW01,2019-10-22 11:50:00,AA,ONT,DFW,1189,0
IKWOW01,2019-07-29 20:26:00,WN,ELP,LBB,295,0
DYDZL09,2019-03-19 18:44:00,MQ,ICT,ORD,588,1
ZWWSS06,2019-11-15 19:31:00,DL,ATL,SFO,2139,0
NYHWX05,2019-03-01 19:21:00,AS,SJC,SEA,697,0
APSZU06,2019-07-02 09:25:00,YV,FAT,PHX,493,0
JWBPF05,2019-04-16 11:24:00,AS,PHX,SEA,1107,0
RGJOS09,2019-12-19 16:32:00,UA,DCA,ORD,612,0
UWCBL05,2019-04-28 12:04:00,XE,ORD,IAH,925,0
MAWFP03,2019-12-04 17:34:00,NW,CMH,DTW,155,1
DVSOQ06,2019-02-13 17:24:00,OO,CHS,ORD,760,0
PTFMW01,2019-12-13 17:43:00,UA,SLC,DEN,391,0
LSBDE01,2019-03-07 19:24:00,OO,DEN,FAR,627,0
WVHDE03,2019-01-30 17:40:00,WN,SMF,ONT,389,0
HKXWM01,2019-06-09 12:22:00,TZ,OGG,SFO,2338,0
LMCEV02,2019-05-02 07:45:00,WN,MCO,FLL,178,0
AXMGW08,2019-02-23 12:24:00,NW,ALB,DTW,488,0
FCLVT07,2019-03-02 11:42:00,NW,MSP,HDN,774,0
HMYZH03,2019-03-11 20:54:00,CO,EWR,FLL,1065,1
WLYIO06,2019-06-24 07:48:00,AS,ANC,PDX,1542,0
XSWUL09,2019-05-18 17:08:00,AS,KTN,SIT,183,0
YXZHO03,2019-04-23 22:18:00,US,PHX,SAN,304,1
LLIKR05,2019-07-23 15:46:00,XE,CLE,MDT,280,0
FBLBI07,2019-04-22 06:33:00,AS,SEA,PHX,1107,0
MEOMI08,2019-05-22 18:30:00,US,MIA,CLT,650,0
EAPGF04,2019-01-20 08:25:00,WN,BWI,MDW,611,0
WGVUX09,2019-07-01 09:00:00,AA,PHL,DFW,1302,0
UEYZJ07,2019-09-01 11:48:00,OO,SFO,BFL,238,0
FWDAJ04,2019-07-14 21:39:00,F9,DEN,SEA,1024,0
OHZXN08,2019-03-13 10:44:00,AA,RSW,ORD,1120,0
KXODT06,2019-06-24 11:24:00,NW,MSP,MCI,393,1
WUUPK05,2019-03-17 17:27:00,FL,ATL,GPT,352,1
HXOGA07,2019-10-31 16:39:00,US,PHL,BUF,279,0
PCUXC01,2019-08-15 14:19:00,US,LAS,LAX,236,0
YFHFC03,2019-09-15 06:55:00,DL,DAB,ATL,366,0
MSIET02,2019-04-30 19:18:00,CO,IAH,SAN,1303,1
VGUZN04,2019-10-04 09:01:00,UA,BTV,ORD,763,1
BBXWQ08,2019-12-11 21:19:00,YV,AVP,ORD,631,1
PQICP07,2019-01-28 07:05:00,WN,BWI,ORF,159,0
SBBQV01,2019-02-06 05:40:00,HP,SEA,PHX,1107,0
