flight_id,departure_ts,carrier,departure_airport,arrival_airport,distance,delayed_15_min
RHKSO07,2019-01-01 05:30:00,EV,OKC,ATL,761,0
QBRVY01,2019-01-01 05:35:00,EV,CLE,ATL,554,0
UIRQB06,2019-01-01 05:51:00,MQ,PIA,ORD,130,0
QLCPG01,2019-01-01 05:53:00,OO,AZO,ORD,122,0
FCEFR01,2019-01-01 05:53:00,MQ,MLI,ORD,139,0
NJTCH09,2019-01-01 06:16:00,B6,SLC,LGB,589,0
KPIMY09,2019-01-01 06:25:00,AA,LAX,DEN,862,0
NEYNM01,2019-01-01 06:30:00,AA,SAN,STL,1558,0
PDZWT06,2019-01-01 06:33:00,DL,LAX,CVG,1900,0
ZSWQF01,2019-01-01 06:36:00,OO,SJC,LAX,308,0
FCVFJ03,2019-01-01 06:39:00,OO,MTJ,DEN,197,0
UETRU08,2019-01-01 06:40:00,WN,OKC,PHX,833,0
ZVWKT04,2019-01-01 06:41:00,AA,ORD,SJU,2072,0
BWLIL06,2019-01-01 06:47:00,AA,SNA,SJC,342,0
MHEKC01,2019-01-01 06:51:00,AS,SAN,SEA,1050,1
YMHKP01,2019-01-01 06:56:00,UA,IND,DEN,977,0
QYUUT04,2019-01-01 06:57:00,XE,PHL,EWR,81,0
KLZAD03,2019-01-01 07:00:00,OO,BHM,ORD,584,0
QMYJN07,2019-01-01 07:00:00,OH,DCA,MSY,969,0
EWZPV07,2019-01-01 07:00:00,DL,LGA,ATL,761,0
OMDVV07,2019-01-01 07:06:00,CO,LAS,IAH,1222,0
RYENK04,2019-01-01 07:08:00,UA,PHX,LAX,370,0
YYILA04,2019-01-01 07:26:00,AA,SFO,ORD,1846,0
LWCAP03,2019-01-01 07:27:00,CO,IAH,LAS,1222,0
PBKGI09,2019-01-01 07:30:00,OH,PHL,CVG,507,0
KBSAQ04,2019-01-01 07:35:00,OH,PHF,CVG,465,0
DZFPT06,2019-01-01 07:38:00,OH,HSV,CVG,325,0
YPUAD09,2019-01-01 07:39:00,MQ,BOS,RIC,474,0
HPZAZ07,2019-01-01 07:44:00,XE,PIT,IAH,1117,0
KJMOG02,2019-01-01 07:49:00,AA,DFW,SEA,1660,0
LRSJC06,2019-01-01 07:54:00,AA,SAN,ORD,1723,0
FJRLW04,2019-01-01 07:55:00,WN,SAN,BNA,1751,0
KYJHR01,2019-01-01 07:57:00,AS,LAS,PDX,762,0
BYOWA03,2019-01-01 07:57:00,CO,EWR,RSW,1068,0
NHLHO04,2019-01-01 07:59:00,MQ,DFW,SDF,733,0
RYUZK07,2019-01-01 08:00:00,WN,MDW,RSW,1105,0
ASTQD04,2019-01-01 08:11:00,US,PHX,SJC,621,0
ROKBL03,2019-01-01 08:12:00,US,CLT,SAN,2077,0
EDAIG04,2019-01-01 08:13:00,CO,FLL,EWR,1065,0
CQAME06,2019-01-01 08:13:00,FL,PIT,MCO,834,0
RGVOM05,2019-01-01 08:15:00,OH,CVG,MDT,429,1
EUBCR02,2019-01-01 08:22:00,UA,MCO,IAD,758,1
NCRED04,2019-01-01 08:23:00,DL,PIT,ATL,526,0
IIAFA05,2019-01-01 08:23:00,OO,SBP,LAX,155,0
VGHHQ03,2019-01-01 08:33:00,DL,DFW,ATL,732,0
SBDWB02,2019-01-01 08:36:00,YV,MEM,DEN,872,0
BEUPT05,2019-01-01 08:39:00,UA,LAS,DEN,629,0
THSTZ03,2019-01-01 08:42:00,AA,ORD,PHX,1440,0
ALCRA02,2019-01-01 08:45:00,OO,EKO,SLC,200,0
PEUSZ09,2019-01-01 08:50:00,UA,SEA,ORD,1721,0
YTLJK05,2019-01-01 08:54:00,AS,SJC,SEA,697,0
YOTLO03,2019-01-01 09:00:00,FL,MCO,ATL,403,0
LYWBA06,2019-01-01 09:00:00,WN,HOU,ELP,677,0
FNHLV03,2019-01-01 09:03:00,CO,MSP,IAH,1034,0
KMUNA06,2019-01-01 09:04:00,MQ,DFW,TYS,772,0
NDFKC02,2019-01-01 09:05:00,WN,PHX,SMF,647,0
PMGAZ06,2019-01-01 09:07:00,NW,LGA,DTW,501,0
UWCKY09,2019-01-01 09:10:00,OH,CVG,CHA,278,0
AKWLZ07,2019-01-01 09:12:00,DL,LAX,SLC,590,0
CONMS08,2019-01-01 09:13:00,CO,EWR,DFW,1372,0
UFOPG04,2019-01-01 09:15:00,WN,MCI,TUL,223,0
PZFSV07,2019-01-01 09:18:00,MQ,BTR,DFW,383,1
ZJAJP02,2019-01-01 09:19:00,MQ,SPS,DFW,113,0
LGPXJ07,2019-01-01 09:22:00,NW,DTW,LAX,1979,0
BMPKR02,2019-01-01 09:23:00,AA,ORD,LAX,1745,0
SNOSF01,2019-01-01 09:24:00,YV,CLT,MDT,413,0
FEGCX06,2019-01-01 09:25:00,AS,SFO,SEA,679,1
JNEAY08,2019-01-01 09:38:00,CO,IAH,LAX,1379,0
JVROG03,2019-01-01 09:40:00,WN,BHM,SDF,323,0
PIAVV04,2019-01-01 09:44:00,US,DCA,BOS,399,0
JHISJ09,2019-01-01 09:49:00,B6,FLL,LGA,1076,0
RLVLU09,2019-01-01 09:55:00,WN,MCI,BNA,491,0
RJVWR02,2019-01-01 09:57:00,MQ,GRR,ORD,137,0
UJLHZ07,2019-01-01 09:57:00,US,PHX,IAH,1009,0
NPKHG02,2019-01-01 09:58:00,NW,PBI,DTW,1087,0
IGYSB03,2019-01-01 10:04:00,AA,AUS,DFW,190,0
LYKLT03,2019-01-01 10:05:00,WN,BNA,RDU,443,0
UQYAP04,2019-01-01 10:12:00,NW,BNA,DTW,457,0
BIQSQ05,2019-01-01 10:14:00,AA,ORD,SLC,1249,0
NJIHU04,2019-01-01 10:20:00,WN,MHT,MDW,838,1
HWRNY02,2019-01-01 10:24:00,XE,IAH,PIT,1117,0
WADKJ05,2019-01-01 10:26:00,DL,MCO,LGA,950,0
BNNIC06,2019-01-01 10:30:00,OH,CVG,CHO,342,0
KSPTV09,2019-01-01 10:38:00,OH,CVG,DAY,64,0
NCQLH04,2019-01-01 10:44:00,EV,ATL,MGM,147,0
HGMRK02,2019-01-01 10:45:00,OO,BZN,SLC,347,0
BPGUN04,2019-01-01 10:46:00,OO,LAX,ONT,47,0
