,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
500000,578703,20868,SILVER FABRIC MIRROR,5,2011-11-25 11:02:00,0.39,17385.0,United Kingdom
500001,578703,22457,NATURAL SLATE HEART CHALKBOARD ,3,2011-11-25 11:02:00,2.95,17385.0,United Kingdom
500002,578703,22185,SLATE TILE NATURAL HANGING,5,2011-11-25 11:02:00,1.65,17385.0,United Kingdom
500003,578703,23365,SET 12 COLOUR PENCILS LOVE LONDON,4,2011-11-25 11:02:00,0.65,17385.0,United Kingdom
500004,578703,22208,WOOD STAMP SET THANK YOU,4,2011-11-25 11:02:00,0.83,17385.0,United Kingdom
500005,578703,23369,SET 36 COLOUR PENCILS LOVE LONDON,3,2011-11-25 11:02:00,1.25,17385.0,United Kingdom
500006,578703,23372,SET 36 COLOUR PENCILS DOLLY GIRL,4,2011-11-25 11:02:00,1.25,17385.0,United Kingdom
500007,578703,22561,WOODEN SCHOOL COLOURING SET,4,2011-11-25 11:02:00,1.65,17385.0,United Kingdom
500008,578703,22563,HAPPY STENCIL CRAFT,4,2011-11-25 11:02:00,1.25,17385.0,United Kingdom
500009,578703,22991,GIRAFFE WOODEN RULER,4,2011-11-25 11:02:00,1.95,17385.0,United Kingdom
500010,578703,22992,REVOLVER WOODEN RULER ,4,2011-11-25 11:02:00,1.95,17385.0,United Kingdom
500011,578703,22759,SET OF 3 NOTEBOOKS IN PARCEL,7,2011-11-25 11:02:00,1.65,17385.0,United Kingdom
500012,578703,85034C,3 ROSE MORRIS BOXED CANDLES,1,2011-11-25 11:02:00,1.25,17385.0,United Kingdom
500013,578703,85034B,3 WHITE CHOC MORRIS BOXED CANDLES,3,2011-11-25 11:02:00,1.25,17385.0,United Kingdom
500014,578703,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,9,2011-11-25 11:02:00,0.79,17385.0,United Kingdom
500015,578703,23320,GIANT 50'S CHRISTMAS CRACKER,6,2011-11-25 11:02:00,2.89,17385.0,United Kingdom
500016,578704,21733,RED HANGING HEART T-LIGHT HOLDER,32,2011-11-25 11:12:00,2.55,18172.0,United Kingdom
500017,578704,85123A,WHITE HANGING HEART T-LIGHT HOLDER,128,2011-11-25 11:12:00,2.55,18172.0,United Kingdom
500018,578705,84988,SET OF 72 PINK HEART PAPER DOILIES,3,2011-11-25 11:12:00,1.45,12531.0,Germany
500019,578705,23569,TRADTIONAL ALPHABET STAMP SET,2,2011-11-25 11:12:00,4.95,12531.0,Germany
500020,578705,20712,JUMBO BAG WOODLAND ANIMALS,2,2011-11-25 11:12:00,2.08,12531.0,Germany
500021,578705,22196,SMALL HEART MEASURING SPOONS,1,2011-11-25 11:12:00,0.85,12531.0,Germany
500022,578705,22195,LARGE HEART MEASURING SPOONS,1,2011-11-25 11:12:00,1.65,12531.0,Germany
500023,578705,22564,ALPHABET STENCIL CRAFT,2,2011-11-25 11:12:00,1.25,12531.0,Germany
500024,578705,21251,DINOSAUR HEIGHT CHART STICKER SET,2,2011-11-25 11:12:00,2.95,12531.0,Germany
500025,578705,21249,WOODLAND  HEIGHT CHART STICKERS ,3,2011-11-25 11:12:00,2.95,12531.0,Germany
500026,578705,22966,GINGERBREAD MAN COOKIE CUTTER,3,2011-11-25 11:12:00,1.25,12531.0,Germany
500027,578705,23480,MINI LIGHTS WOODLAND MUSHROOMS,4,2011-11-25 11:12:00,3.75,12531.0,Germany
500028,578705,21731,RED TOADSTOOL LED NIGHT LIGHT,3,2011-11-25 11:12:00,1.65,12531.0,Germany
500029,578705,23084,RABBIT NIGHT LIGHT,2,2011-11-25 11:12:00,2.08,12531.0,Germany
500030,578705,22078,RIBBON REEL LACE DESIGN ,5,2011-11-25 11:12:00,2.1,12531.0,Germany
500031,578705,21226,POCKET MIRROR WOODLAND,5,2011-11-25 11:12:00,1.25,12531.0,Germany
500032,578705,22554,PLASTERS IN TIN WOODLAND ANIMALS,4,2011-11-25 11:12:00,1.65,12531.0,Germany
500033,578705,21452,TOADSTOOL MONEY BOX,2,2011-11-25 11:12:00,2.95,12531.0,Germany
500034,578705,22504,CABIN BAG VINTAGE RETROSPOT,1,2011-11-25 11:12:00,29.95,12531.0,Germany
500035,578707,16218,CARTOON  PENCIL SHARPENERS,5,2011-11-25 11:20:00,0.06,17870.0,United Kingdom
500036,578707,85066,CREAM SWEETHEART MINI CHEST,2,2011-11-25 11:20:00,12.75,17870.0,United Kingdom
500037,578707,21429,RED GINGHAM ROSE JEWELLERY BOX,4,2011-11-25 11:20:00,1.95,17870.0,United Kingdom
500038,578707,23350,ROLL WRAP VINTAGE SPOT ,4,2011-11-25 11:20:00,1.25,17870.0,United Kingdom
500039,578707,21034,REX CASH+CARRY JUMBO SHOPPER,1,2011-11-25 11:20:00,0.95,17870.0,United Kingdom
500040,578707,22969,HOMEMADE JAM SCENTED CANDLES,36,2011-11-25 11:20:00,1.45,17870.0,United Kingdom
500041,578707,22737,RIBBON REEL CHRISTMAS PRESENT ,5,2011-11-25 11:20:00,1.65,17870.0,United Kingdom
500042,578707,20975,12 PENCILS SMALL TUBE RED RETROSPOT,2,2011-11-25 11:20:00,0.65,17870.0,United Kingdom
500043,578707,23375,50'S CHRISTMAS PAPER GIFT BAG,20,2011-11-25 11:20:00,0.82,17870.0,United Kingdom
500044,578707,20992,JAZZ HEARTS PURSE NOTEBOOK,2,2011-11-25 11:20:00,0.39,17870.0,United Kingdom
500045,578707,84510A,SET OF 4 ENGLISH ROSE COASTERS,2,2011-11-25 11:20:00,1.25,17870.0,United Kingdom
500046,578707,84510C,SET OF 4 POLKADOT COASTERS,2,2011-11-25 11:20:00,1.25,17870.0,United Kingdom
500047,578707,84509A,SET OF 4 ENGLISH ROSE PLACEMATS,2,2011-11-25 11:20:00,3.75,17870.0,United Kingdom
500048,578707,84509C,SET OF 4 POLKADOT PLACEMATS ,2,2011-11-25 11:20:00,3.75,17870.0,United Kingdom
500049,578707,21985,PACK OF 12 HEARTS DESIGN TISSUES ,12,2011-11-25 11:20:00,0.39,17870.0,United Kingdom
500050,578707,21411,GINGHAM HEART  DOORSTOP RED,1,2011-11-25 11:20:00,4.25,17870.0,United Kingdom
500051,578707,22595,GINGHAM HEART DECORATION,4,2011-11-25 11:20:00,0.85,17870.0,United Kingdom
500052,578707,22083,PAPER CHAIN KIT RETROSPOT,2,2011-11-25 11:20:00,2.95,17870.0,United Kingdom
500053,578707,22766,PHOTO FRAME CORNICE,5,2011-11-25 11:20:00,2.95,17870.0,United Kingdom
500054,578707,22588,CARD HOLDER GINGHAM HEART,4,2011-11-25 11:20:00,2.89,17870.0,United Kingdom
500055,578707,90098,NECKLACE+BRACELET PINK BUTTERFLY,1,2011-11-25 11:20:00,2.55,17870.0,United Kingdom
500056,578707,90099,NECKLACE+BRACELET SET BLUE HIBISCUS,1,2011-11-25 11:20:00,2.55,17870.0,United Kingdom
500057,578707,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,1,2011-11-25 11:20:00,2.55,17870.0,United Kingdom
500058,578707,21411,GINGHAM HEART  DOORSTOP RED,2,2011-11-25 11:20:00,4.25,17870.0,United Kingdom
500059,578707,22352,LUNCH BOX WITH CUTLERY RETROSPOT ,1,2011-11-25 11:20:00,2.55,17870.0,United Kingdom
500060,578707,21238,RED RETROSPOT CUP,2,2011-11-25 11:20:00,0.85,17870.0,United Kingdom
500061,578707,21531,RED RETROSPOT SUGAR JAM BOWL,1,2011-11-25 11:20:00,2.55,17870.0,United Kingdom
500062,578707,21584,RETROSPOT SMALL TUBE MATCHES,1,2011-11-25 11:20:00,1.65,17870.0,United Kingdom
500063,578707,85034C,3 ROSE MORRIS BOXED CANDLES,3,2011-11-25 11:20:00,1.25,17870.0,United Kingdom
500064,578707,23458,DOLLY CABINET 3 DRAWERS ,1,2011-11-25 11:20:00,14.95,17870.0,United Kingdom
500065,578707,23229,VINTAGE DONKEY TAIL GAME ,1,2011-11-25 11:20:00,3.75,17870.0,United Kingdom
500066,578707,21912,VINTAGE SNAKES & LADDERS,1,2011-11-25 11:20:00,3.75,17870.0,United Kingdom
500067,578707,21034,REX CASH+CARRY JUMBO SHOPPER,2,2011-11-25 11:20:00,0.95,17870.0,United Kingdom
500068,578707,21115,ROSE CARAVAN DOORSTOP,2,2011-11-25 11:20:00,6.75,17870.0,United Kingdom
500069,578707,22906,12 MESSAGE CARDS WITH ENVELOPES,3,2011-11-25 11:20:00,1.65,17870.0,United Kingdom
500070,578707,84859B,BLUE DISCO HANDBAG,1,2011-11-25 11:20:00,1.95,17870.0,United Kingdom
500071,578707,84859A,SILVER DISCO HANDBAG,1,2011-11-25 11:20:00,1.95,17870.0,United Kingdom
500072,578707,23339,EGG FRYING PAN BLUE ,1,2011-11-25 11:20:00,2.08,17870.0,United Kingdom
500073,578707,21034,REX CASH+CARRY JUMBO SHOPPER,1,2011-11-25 11:20:00,0.95,17870.0,United Kingdom
500074,578707,21373,MIRRORED WALL ART SNOWFLAKES,2,2011-11-25 11:20:00,0.75,17870.0,United Kingdom
500075,578707,23338,EGG FRYING PAN RED ,1,2011-11-25 11:20:00,2.08,17870.0,United Kingdom
500076,578707,20780,BLACK EAR MUFF HEADPHONES,2,2011-11-25 11:20:00,5.49,17870.0,United Kingdom
500077,578707,79066K,RETRO MOD TRAY,1,2011-11-25 11:20:00,0.85,17870.0,United Kingdom
500078,578707,84527,FLAMES SUNGLASSES PINK LENSES,1,2011-11-25 11:20:00,1.95,17870.0,United Kingdom
500079,578707,84859C,PINK DISCO HANDBAG,1,2011-11-25 11:20:00,1.95,17870.0,United Kingdom
500080,578707,84859B,BLUE DISCO HANDBAG,1,2011-11-25 11:20:00,1.95,17870.0,United Kingdom
500081,578707,21205,MULTICOLOUR 3D BALLS GARLAND,1,2011-11-25 11:20:00,2.55,17870.0,United Kingdom
500082,578707,22781,GUMBALL MAGAZINE RACK,1,2011-11-25 11:20:00,7.65,17870.0,United Kingdom
500083,578707,22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,20,2011-11-25 11:20:00,0.29,17870.0,United Kingdom
500084,578707,22816,CARD MOTORBIKE SANTA,12,2011-11-25 11:20:00,0.42,17870.0,United Kingdom
500085,578707,23114,VINTAGE LEAF CHOPPING BOARD  ,1,2011-11-25 11:20:00,4.95,17870.0,United Kingdom
500086,578707,84596B,SMALL DOLLY MIX DESIGN ORANGE BOWL,1,2011-11-25 11:20:00,0.42,17870.0,United Kingdom
500087,578707,23442,12 HANGING EGGS HAND PAINTED,5,2011-11-25 11:20:00,2.08,17870.0,United Kingdom
500088,578707,21129,SILVER FISHING GNOME ,1,2011-11-25 11:20:00,6.95,17870.0,United Kingdom
500089,578707,23694,PAISLEY PARK CARD,12,2011-11-25 11:20:00,0.42,17870.0,United Kingdom
500090,578707,85032A,ROMANTIC IMAGES GIFT WRAP SET,1,2011-11-25 11:20:00,0.65,17870.0,United Kingdom
500091,578707,22372,AIRLINE BAG VINTAGE WORLD CHAMPION ,1,2011-11-25 11:20:00,4.25,17870.0,United Kingdom
500092,578707,23504,PLAYING CARDS JUBILEE UNION JACK,1,2011-11-25 11:20:00,1.25,17870.0,United Kingdom
500093,578707,23369,SET 36 COLOUR PENCILS LOVE LONDON,1,2011-11-25 11:20:00,1.25,17870.0,United Kingdom
500094,578707,20978,36 PENCILS TUBE SKULLS,1,2011-11-25 11:20:00,1.25,17870.0,United Kingdom
500095,578707,21914,BLUE HARMONICA IN BOX ,1,2011-11-25 11:20:00,1.25,17870.0,United Kingdom
500096,578707,21739,COSY SLIPPER SHOES SMALL GREEN,1,2011-11-25 11:20:00,2.95,17870.0,United Kingdom
500097,578707,22906,12 MESSAGE CARDS WITH ENVELOPES,2,2011-11-25 11:20:00,1.65,17870.0,United Kingdom
500098,578707,85035C,ROSE 3 WICK MORRIS BOX CANDLE,3,2011-11-25 11:20:00,1.25,17870.0,United Kingdom
500099,578707,21034,REX CASH+CARRY JUMBO SHOPPER,5,2011-11-25 11:20:00,0.95,17870.0,United Kingdom
500100,578707,23501,KEY RING BASEBALL BOOT UNION JACK,2,2011-11-25 11:20:00,1.25,17870.0,United Kingdom
500101,578707,21034,REX CASH+CARRY JUMBO SHOPPER,1,2011-11-25 11:20:00,0.95,17870.0,United Kingdom
500102,578707,23320,GIANT 50'S CHRISTMAS CRACKER,2,2011-11-25 11:20:00,2.89,17870.0,United Kingdom
500103,578707,20780,BLACK EAR MUFF HEADPHONES,1,2011-11-25 11:20:00,5.49,17870.0,United Kingdom
500104,578707,20781,GOLD EAR MUFF HEADPHONES,1,2011-11-25 11:20:00,5.49,17870.0,United Kingdom
500105,578708,23344,JUMBO BAG 50'S CHRISTMAS ,20,2011-11-25 11:21:00,2.08,15737.0,United Kingdom
500106,578708,23444,Next Day Carriage,1,2011-11-25 11:21:00,15.0,15737.0,United Kingdom
500107,578719,23310,BUBBLEGUM RING ASSORTED,36,2011-11-25 11:25:00,0.42,17348.0,United Kingdom
500108,578719,22911,PAPER CHAIN KIT LONDON,1,2011-11-25 11:25:00,2.95,17348.0,United Kingdom
500109,578719,23207,LUNCH BAG ALPHABET DESIGN,1,2011-11-25 11:25:00,1.65,17348.0,United Kingdom
500110,578719,23355,HOT WATER BOTTLE KEEP CALM,1,2011-11-25 11:25:00,4.95,17348.0,United Kingdom
500111,578719,23356,LOVE HOT WATER BOTTLE,1,2011-11-25 11:25:00,5.95,17348.0,United Kingdom
500112,578719,21619,4 VANILLA BOTANICAL CANDLES,1,2011-11-25 11:25:00,1.25,17348.0,United Kingdom
500113,578719,21678,PAISLEY PATTERN  STICKERS,6,2011-11-25 11:25:00,0.85,17348.0,United Kingdom
500114,578719,21576,LETS GO SHOPPING COTTON TOTE BAG,1,2011-11-25 11:25:00,2.25,17348.0,United Kingdom
500115,578719,22047,EMPIRE GIFT WRAP,25,2011-11-25 11:25:00,0.42,17348.0,United Kingdom
500116,578719,23238,SET OF 4 KNICK KNACK TINS LONDON ,1,2011-11-25 11:25:00,4.15,17348.0,United Kingdom
500117,578719,23489,VINTAGE BELLS GARLAND,2,2011-11-25 11:25:00,2.89,17348.0,United Kingdom
500118,578719,23349,ROLL WRAP VINTAGE CHRISTMAS,1,2011-11-25 11:25:00,1.25,17348.0,United Kingdom
500119,578719,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-11-25 11:25:00,1.69,17348.0,United Kingdom
500120,578719,21136,PAINTED METAL PEARS ASSORTED,8,2011-11-25 11:25:00,1.69,17348.0,United Kingdom
500121,578719,22024,RAINY LADIES BIRTHDAY CARD,12,2011-11-25 11:25:00,0.42,17348.0,United Kingdom
500122,578719,23318,BOX OF 6 MINI VINTAGE CRACKERS,1,2011-11-25 11:25:00,2.49,17348.0,United Kingdom
