order_id,user_id,order_number,order_dow,order_hour_of_day,days_since_prior_order
1298372,181,1,0,14,
3256630,181,2,0,16,7.0
1075237,181,3,2,13,30.0
2679362,181,4,1,16,13.0
3228766,181,5,1,14,30.0
564668,181,6,1,12,14.0
2398097,181,7,1,15,30.0
1009554,181,8,1,14,14.0
1629880,181,9,1,21,14.0
489947,181,10,5,12,30.0
2029462,181,11,2,14,30.0
754934,517,1,5,18,
2321232,517,2,6,13,8.0
2044022,517,3,6,15,7.0
2763310,517,4,6,16,7.0
2831272,517,5,6,12,14.0
2058862,1065,1,3,15,
2595548,1065,2,3,11,30.0
1945110,1065,3,5,10,30.0
3382012,1065,4,2,14,18.0
175315,1065,5,6,11,25.0
1758679,1065,6,2,11,10.0
868138,1551,1,2,10,
171015,1551,2,1,20,13.0
3271504,1551,3,0,18,20.0
1460371,1551,4,5,12,12.0
2632212,1551,5,5,10,14.0
2211062,1551,6,4,23,27.0
3371946,1551,7,3,22,30.0
507428,1551,8,1,14,26.0
2191613,1551,9,0,16,6.0
2485963,1551,10,4,20,4.0
257622,1551,11,5,11,30.0
1130873,1551,12,3,12,30.0
456492,1551,13,4,11,30.0
1615556,1551,14,3,12,6.0
1423393,1551,15,5,13,16.0
1945461,1551,16,4,23,30.0
2727319,1551,17,1,15,4.0
2053270,1551,18,5,13,4.0
1492657,1629,1,2,17,
1695074,1629,2,0,18,5.0
2508340,1629,3,0,15,7.0
1562428,1629,4,6,18,13.0
692309,1629,5,4,16,5.0
2097161,1629,6,0,9,3.0
3033235,1629,7,2,23,9.0
1553628,1629,8,2,17,7.0
2090295,1629,9,1,17,6.0
1313554,1629,10,0,17,30.0
1239390,1629,11,4,17,25.0
462774,1629,12,3,19,30.0
2092622,1629,13,1,18,12.0
1038668,1629,14,0,12,6.0
868172,1629,15,0,16,7.0
1207679,1629,16,5,11,12.0
1338655,1629,17,6,16,1.0
2732220,1629,18,6,18,14.0
1255340,1629,19,0,13,8.0
7754,1629,20,3,18,10.0
1672493,1629,21,0,16,4.0
1719509,1629,22,1,16,1.0
3378300,1629,23,2,17,1.0
487934,1629,24,0,16,5.0
2043097,1629,25,3,8,3.0
3228390,1629,26,1,14,5.0
2444798,1629,27,4,16,24.0
1258242,1629,28,0,12,17.0
1746077,1629,29,1,17,8.0
1230228,1629,30,0,14,6.0
2539961,1629,31,3,16,3.0
975772,1629,32,0,17,11.0
3127937,1629,33,3,21,3.0
366132,1629,34,2,16,20.0
2825052,1629,35,3,0,8.0
1195005,1629,36,4,16,8.0
3009052,1629,37,0,13,3.0
23226,2084,1,1,12,
1903673,2084,2,3,16,30.0
1277254,2084,3,1,16,5.0
3378768,2084,4,6,14,30.0
2381419,2483,1,5,15,
1142950,2483,2,6,19,30.0
1385020,2483,3,2,18,17.0
2547945,2483,4,0,19,12.0
1553848,2483,5,2,15,9.0
2063941,2483,6,4,16,30.0
888249,2483,7,1,16,11.0
2447724,2483,8,2,16,1.0
857287,2483,9,5,19,10.0
718843,2483,10,4,19,27.0
155699,2483,11,5,20,8.0
940409,2483,12,6,16,8.0
1586387,2483,13,6,16,7.0
528228,2483,14,3,17,4.0
396340,2483,15,0,14,4.0
1769938,2483,16,0,15,14.0
1330132,2483,17,6,17,6.0
3254921,2483,18,6,18,14.0
2825853,2483,19,0,16,8.0
2989692,2483,20,5,17,5.0
2125314,2483,21,1,22,3.0
2653099,2483,22,5,17,4.0
2249487,2483,23,0,19,9.0
2831551,2483,24,5,17,12.0
2532064,2483,25,6,14,8.0
2968311,2483,26,3,17,11.0
1269675,2483,27,0,14,18.0
3200397,2483,28,4,18,18.0
301065,2483,29,0,17,10.0
3224666,2483,30,3,17,10.0
2723270,2483,31,5,13,16.0
570135,2483,32,3,19,5.0
3073931,2483,33,2,18,6.0
1960256,2568,1,6,13,
1811959,2568,2,1,16,30.0
1110220,2568,3,2,20,1.0
1580604,2568,4,0,16,12.0
1731250,2568,5,6,11,6.0
2659338,2568,6,2,16,30.0
177465,2568,7,5,18,17.0
3314073,2568,8,0,8,30.0
3212361,2568,9,3,9,3.0
2348340,2568,10,1,11,30.0
867586,2568,11,3,10,30.0
2029487,2568,12,4,9,8.0
671144,2568,13,4,8,14.0
1136281,2568,14,0,7,10.0
2055265,2774,1,5,11,
2290616,2774,2,0,16,16.0
1580051,2774,3,2,13,2.0
579947,2774,4,0,18,19.0
1714486,2774,5,3,14,10.0
2921801,2774,6,2,14,13.0
2508127,2774,7,0,9,5.0
422216,2774,8,2,7,2.0
3017238,2774,9,5,16,3.0
543809,2774,10,4,16,13.0
1796930,2774,11,5,9,8.0
776907,2774,12,6,10,1.0
1020701,2774,13,2,9,3.0
607401,2774,14,3,13,1.0
503543,2774,15,3,21,7.0
2024042,2774,16,1,12,12.0
2103445,2774,17,6,7,5.0
104102,2774,18,0,13,1.0
3382587,2774,19,4,9,4.0
2571037,2774,20,0,13,10.0
2541906,2774,21,6,12,6.0
794507,2774,22,1,9,2.0
278724,2774,23,5,11,4.0
2606092,2774,24,0,9,2.0
2383286,2774,25,1,10,15.0
1747911,2774,26,1,13,14.0
498212,3032,1,3,11,
623780,3032,2,0,16,18.0
2137266,3032,3,2,10,23.0
2623270,3032,4,2,12,30.0
2720627,3032,5,2,8,7.0
1000307,3032,6,3,11,1.0
1601574,3032,7,2,12,6.0
708463,3032,8,4,10,2.0
661214,3032,9,0,15,30.0
3344621,3032,10,6,22,6.0
2735570,3032,11,2,11,10.0
1545832,3032,12,2,13,7.0
1846274,3032,13,5,16,3.0
3218104,3032,14,1,13,3.0
2276516,3032,15,0,16,6.0
2571637,3032,16,5,19,5.0
3301463,3032,17,1,12,10.0
2635694,3032,18,4,10,30.0
16360,3280,1,3,10,
3231393,3280,2,1,11,26.0
979633,3280,3,1,12,7.0
480531,3280,4,5,12,30.0
391695,3280,5,5,14,21.0
2939861,3280,6,5,11,7.0
215706,3280,7,1,11,17.0
653772,3280,8,4,10,30.0
1931389,3280,9,5,12,8.0
2920589,3280,10,3,11,5.0
59804,3280,11,5,10,16.0
2170411,3280,12,4,12,6.0
124444,3280,13,5,10,22.0
3265806,3280,14,3,12,5.0
278001,3280,15,4,12,8.0
3080875,3280,16,3,19,30.0
827221,3280,17,4,12,22.0
2966874,3280,18,5,10,15.0
375623,3825,1,5,9,
545951,3825,2,2,13,4.0
1415834,3825,3,5,15,10.0
3371010,3825,4,0,21,2.0
3066790,3825,5,4,11,18.0
1472777,3825,6,6,12,9.0
2970747,3825,7,4,10,5.0
2649001,3857,1,2,11,
2524995,3857,2,2,11,7.0
2291534,3857,3,2,9,7.0
1076387,3857,4,5,10,10.0
1437221,3857,5,3,12,5.0
1939708,3857,6,3,9,7.0
65686,3857,7,4,10,8.0
3006186,3857,8,3,14,13.0
1123012,3857,9,4,10,8.0
386151,3857,10,3,15,6.0
2120202,3857,11,4,10,8.0
1019888,3857,12,3,12,6.0
3397323,3857,13,3,15,7.0
2237858,3857,14,3,9,7.0
2297734,3872,1,0,15,
1552392,3872,2,0,16,30.0
2137814,3872,3,6,14,6.0
1577277,3872,4,1,17,30.0
1838380,3872,5,3,17,9.0
740222,4160,1,6,22,
2671668,4160,2,5,15,20.0
3197329,4160,3,3,21,12.0
446411,4160,4,6,15,30.0
3117273,4160,5,1,18,23.0
3086930,4160,6,6,13,30.0
3076635,4450,1,3,22,
586179,4450,2,5,12,16.0
2185655,4450,3,1,16,24.0
1758315,4450,4,1,13,7.0
3176243,4450,5,4,8,30.0
2321231,4450,6,2,19,12.0
561107,4450,7,3,12,30.0
2717967,4734,1,0,17,
3297630,4734,2,1,12,30.0
2161924,4734,3,6,11,12.0
3344788,4734,4,4,11,19.0
1354873,4734,5,0,10,30.0
1523784,4734,6,6,8,13.0
2672826,4734,7,1,12,9.0
1494644,4734,8,6,8,12.0
1467342,4734,9,0,11,15.0
1527807,4901,1,1,16,
666012,4901,2,2,14,22.0
2606647,4901,3,6,18,18.0
2162052,4901,4,4,9,12.0
2282014,4901,5,6,18,9.0
131250,4901,6,2,13,24.0
1202954,4901,7,4,19,30.0
611561,5305,1,2,10,
2736427,5305,2,3,14,8.0
1146822,5305,3,0,11,30.0
1834883,5305,4,6,7,6.0
2939214,5449,1,6,13,
3269582,5449,2,1,13,2.0
3224829,5449,3,4,12,3.0
1857922,5449,4,0,16,3.0
2817174,5449,5,3,6,3.0
2476008,5449,6,6,14,3.0
