order_id,product_id,add_to_cart_order,reordered
78,32403,1,0
78,12899,2,0
78,21573,3,0
78,32455,4,1
78,16797,5,0
260,37011,1,1
260,29930,2,1
260,20589,3,1
260,46823,4,1
260,42585,5,1
260,23634,6,1
260,24852,7,1
260,49683,8,1
260,41453,9,1
260,36023,10,1
260,9809,11,1
260,18583,12,1
260,44042,13,0
260,36956,14,1
260,21227,15,0
260,7542,16,0
321,21497,1,1
321,31683,2,1
321,33674,3,1
321,44661,4,1
321,24852,5,1
321,12099,6,1
321,21137,7,1
321,7781,8,1
321,27845,9,1
321,16885,10,1
321,28993,11,1
321,9808,12,1
321,42265,13,1
321,45066,14,1
321,4799,15,1
321,30489,16,1
321,27113,17,0
321,20040,18,0
321,21376,19,0
321,21850,20,0
321,2081,21,0
321,9076,22,1
366,3849,1,1
366,47209,2,1
366,21137,3,1
366,35951,4,1
366,9550,5,1
366,39905,6,1
366,38777,7,1
366,30391,8,1
366,41858,9,1
827,21903,1,0
827,48577,2,0
827,42701,3,0
981,11520,1,1
981,13176,2,1
981,47209,3,1
981,37646,4,1
981,21230,5,0
1582,11961,1,1
1582,21945,2,1
1649,15182,1,1
1649,43987,2,1
1649,39732,3,0
1649,45984,4,0
1649,29393,5,0
1649,22935,6,1
1649,24964,7,1
1649,33000,8,1
1649,32099,9,1
1649,34635,10,1
1649,12798,11,1
1649,34525,12,1
1649,22627,13,1
1649,8174,14,1
1649,47823,15,1
1649,7113,16,0
1649,31506,17,1
1649,5876,18,1
2108,40571,1,1
2108,18523,2,1
2108,4957,3,0
2108,33787,4,0
2108,22124,5,1
2108,20392,6,0
2108,27925,7,0
2702,22640,1,1
2702,34993,2,1
2702,11512,3,1
2702,49247,4,1
2702,25133,5,1
2702,21376,6,1
2741,27086,1,1
2741,32163,2,1
2741,38689,3,1
2741,32689,4,0
2741,9020,5,1
2741,13198,6,1
2821,21137,1,1
2821,39275,2,1
2821,26604,3,1
2821,43352,4,1
2821,16589,5,1
3804,11737,1,1
3804,1804,2,1
3804,2763,3,1
3804,2535,4,0
3804,13780,5,0
3804,33401,6,0
3804,15261,7,0
3804,13733,8,1
3804,18288,9,1
3804,24841,10,0
3804,1273,11,0
3804,12162,12,0
3804,22935,13,0
3804,5769,14,0
4088,21903,1,1
4088,21616,2,1
4088,45066,3,1
4088,6347,4,1
4088,33195,5,1
4088,2086,6,0
4088,48679,7,1
4088,24852,8,0
4088,45007,9,1
4088,21137,10,1
4088,19057,11,1
4514,47601,1,1
4514,24852,2,1
4514,49235,3,1
4514,9076,4,1
4514,10749,5,0
4514,1244,6,0
4514,30391,7,1
4514,35510,8,0
4514,546,9,0
4514,40408,10,0
4656,22802,1,1
4656,196,2,1
4893,44396,1,1
4893,40396,2,0
4893,8021,3,0
4893,47766,4,0
4893,47830,5,0
4947,34050,1,0
4947,37004,2,1
4947,22952,3,0
4947,31769,4,1
4947,24390,5,0
4947,41787,6,0
4947,41351,7,1
4947,3919,8,1
4947,34862,9,1
4947,12481,10,0
4947,1233,11,0
4947,8104,12,0
4947,36086,13,0
4947,30623,14,0
4947,45938,15,1
4947,11265,16,1
4947,25830,17,0
4947,49079,18,0
4947,15923,19,1
5147,35412,1,1
5147,24774,2,0
5147,24136,3,1
5147,32519,4,1
5147,2732,5,0
5190,27104,1,1
5190,27344,2,0
5190,13838,3,1
5190,9869,4,1
5190,24852,5,1
5190,5991,6,0
5190,25005,7,0
5190,46755,8,0
5190,20274,9,0
5246,13249,1,1
